borrower_id,age,occupation,monthly_income,existing_loan_history,loan_history_code,debt_to_income_ratio,loan_size,telecom_usage_score,mobile_wallet_activity,digital_purchase_frequency,psychometric_score,gender,province,repayment_score
PK-00024,36,Self-Employed,63833,Good Repayment History,1,0.099,488843,0.616,0.647,9,80.1,Male,Punjab,72.39
PK-00025,34,Self-Employed,57510,No Previous Loan,0,0.01,366111,0.439,0.66,12,74.4,Male,Sindh,47.21
PK-00026,34,Daily Wage Worker,45802,Good Repayment History,1,0.248,562315,0.574,0.477,1,61.7,Female,Khyber Pakhtunkhwa,49.12
PK-00027,43,Daily Wage Worker,54998,Delayed Repayment History,2,0.213,383097,0.554,0.524,2,53.7,Female,Punjab,33.91
PK-00028,41,Other,53661,Previous Default,3,0.404,322106,0.586,0.907,8,94.1,Male,Punjab,58.8
PK-00029,42,Salaried,44182,Delayed Repayment History,2,0.19,340783,0.275,0.596,0,29.1,Male,Balochistan,22.44
PK-00030,42,Self-Employed,86153,No Previous Loan,0,0.12,421044,0.696,0.572,2,56.5,Female,Punjab,75.52
PK-00031,58,Self-Employed,68066,Delayed Repayment History,2,0.265,463620,0.655,0.531,4,36.5,Female,Punjab,57.77
PK-00032,34,Self-Employed,48520,Good Repayment History,1,0.209,399930,0.579,0.45,2,58.9,Female,Punjab,50.52
PK-00033,33,Self-Employed,38916,No Previous Loan,0,0.041,503806,0.429,0.77,10,61.8,Male,Punjab,72.37
PK-00034,30,Self-Employed,158533,No Previous Loan,0,0.01,1200000,0.518,0.737,31,51.4,Female,Khyber Pakhtunkhwa,45.56
PK-00035,44,Daily Wage Worker,60512,Good Repayment History,1,0.128,477731,0.599,0.745,13,49.1,Male,Sindh,83.22
PK-00036,48,Self-Employed,86179,Previous Default,3,0.316,837538,0.506,0.564,7,38.7,Male,Sindh,35.7
PK-00037,37,Freelancer,59923,No Previous Loan,0,0.019,480268,0.577,0.462,1,64.8,Female,Punjab,66.92
PK-00038,30,Daily Wage Worker,54382,No Previous Loan,0,0.01,456968,0.586,0.747,5,50.3,Female,Khyber Pakhtunkhwa,77.65
PK-00039,30,Business Owner,58281,Delayed Repayment History,2,0.354,244740,0.759,0.514,2,64.3,Male,Punjab,51.79
PK-00040,44,Self-Employed,76183,Delayed Repayment History,2,0.325,693667,0.631,0.5,5,50.6,Male,Sindh,23.54
PK-00041,45,Salaried,72757,Delayed Repayment History,2,0.262,385685,0.88,0.59,1,62.4,Female,Punjab,72.04
PK-00042,43,Salaried,46700,Good Repayment History,1,0.26,535653,0.554,0.395,1,68.4,Male,Punjab,63.83
PK-00043,31,Daily Wage Worker,41549,No Previous Loan,0,0.249,196880,0.628,0.434,0,63.9,Male,Sindh,68.24
PK-00044,40,Self-Employed,61182,Delayed Repayment History,2,0.246,399778,0.646,0.624,8,61.2,Male,Punjab,39.07
PK-00045,39,Salaried,50771,No Previous Loan,0,0.127,493473,0.349,0.356,0,55.6,Male,Punjab,50.14
PK-00046,40,Other,45796,Good Repayment History,1,0.212,402864,0.619,0.669,3,64.3,Female,Punjab,79.84
PK-00047,46,Freelancer,34770,Good Repayment History,1,0.143,329244,0.455,0.582,1,46.5,Male,Sindh,61.04
PK-00048,40,Daily Wage Worker,65172,No Previous Loan,0,0.01,541383,0.702,0.62,4,55.1,Male,Sindh,69.11
PK-00049,44,Self-Employed,122445,No Previous Loan,0,0.293,710517,0.81,0.41,1,65.8,Female,Khyber Pakhtunkhwa,70.76
PK-00050,38,Other,39771,No Previous Loan,0,0.148,283983,0.529,0.342,2,80.2,Male,Punjab,67.81
PK-00051,40,Salaried,97767,No Previous Loan,0,0.081,680425,0.621,0.623,5,50.1,Female,Punjab,55.76
PK-00052,44,Salaried,66097,No Previous Loan,0,0.125,695604,0.646,0.802,6,44.5,Male,Punjab,70.93
PK-00053,24,Daily Wage Worker,40324,Delayed Repayment History,2,0.545,429884,0.891,0.703,13,60.8,Female,Punjab,31.44
PK-00054,35,Daily Wage Worker,28130,No Previous Loan,0,0.104,382018,0.429,0.937,11,73.8,Female,Punjab,67.01
PK-00055,33,Business Owner,70683,Delayed Repayment History,2,0.306,465737,0.428,0.607,9,71.0,Female,Punjab,55.15
PK-00056,32,Salaried,77074,No Previous Loan,0,0.093,656011,0.49,0.35,1,59.1,Male,Punjab,38.41
PK-00057,35,Self-Employed,49343,Good Repayment History,1,0.288,423183,0.454,0.525,0,76.1,Female,Punjab,60.37
PK-00058,52,Daily Wage Worker,34558,Good Repayment History,1,0.225,532494,0.386,0.526,1,27.8,Female,Punjab,32.85
PK-00059,30,Daily Wage Worker,35834,Previous Default,3,0.29,699550,0.82,0.411,0,71.7,Male,Sindh,12.98
PK-00060,47,Self-Employed,21686,No Previous Loan,0,0.01,294955,0.59,0.226,0,49.3,Male,Punjab,54.29
PK-00061,22,Salaried,65457,No Previous Loan,0,0.189,545797,0.661,0.856,14,67.9,Male,Balochistan,72.37
PK-00062,35,Freelancer,67148,No Previous Loan,0,0.117,500724,0.627,0.165,0,73.9,Male,Punjab,54.43
PK-00063,39,Freelancer,131610,No Previous Loan,0,0.042,373090,0.63,0.799,20,63.7,Male,Punjab,91.69
PK-00064,43,Self-Employed,98613,Good Repayment History,1,0.086,682446,0.712,0.582,8,60.7,Female,Punjab,66.44
PK-00065,44,Business Owner,76279,No Previous Loan,0,0.245,517105,0.833,0.473,3,52.6,Female,Khyber Pakhtunkhwa,61.47
PK-00066,45,Other,104459,Delayed Repayment History,2,0.307,650490,0.554,0.315,3,86.1,Male,Punjab,55.15
PK-00067,34,Self-Employed,51360,Previous Default,3,0.465,521426,0.3,0.74,4,62.6,Female,Balochistan,22.89
PK-00068,33,Business Owner,79379,Good Repayment History,1,0.239,572739,0.666,0.39,3,62.3,Female,Sindh,76.48
PK-00069,46,Business Owner,79556,Delayed Repayment History,2,0.334,671151,0.474,0.691,7,82.3,Male,Sindh,34.48
PK-00070,36,Business Owner,93072,Good Repayment History,1,0.119,432794,0.584,0.593,1,51.6,Female,Sindh,75.04
PK-00071,26,Daily Wage Worker,38000,Previous Default,3,0.411,341831,0.689,0.578,1,52.3,Female,Punjab,33.53
PK-00072,27,Business Owner,79081,No Previous Loan,0,0.144,798075,0.621,0.287,2,73.4,Male,Punjab,43.73
PK-00073,29,Business Owner,65858,Delayed Repayment History,2,0.385,600611,0.828,0.743,6,85.7,Male,Khyber Pakhtunkhwa,69.61
PK-00074,42,Salaried,57257,Good Repayment History,1,0.278,432277,0.651,0.899,12,58.4,Male,Khyber Pakhtunkhwa,61.57
PK-00075,39,Freelancer,29021,No Previous Loan,0,0.051,470251,0.478,0.179,0,61.2,Female,Punjab,49.97
PK-00076,44,Salaried,88381,Delayed Repayment History,2,0.308,404147,0.486,0.504,2,34.6,Male,Punjab,45.64
PK-00077,34,Salaried,45410,Good Repayment History,1,0.12,713043,0.675,0.566,1,76.7,Male,Punjab,80.33
PK-00078,39,Business Owner,74382,Delayed Repayment History,2,0.288,676548,0.764,0.581,2,41.8,Male,Khyber Pakhtunkhwa,65.58
PK-00079,44,Business Owner,61561,Delayed Repayment History,2,0.286,510727,0.493,0.73,7,49.6,Male,Punjab,49.95
PK-00080,35,Other,66085,Good Repayment History,1,0.175,542601,0.836,0.903,18,61.1,Male,Sindh,78.92
PK-00081,42,Freelancer,57745,No Previous Loan,0,0.185,539291,0.658,0.755,5,47.6,Female,Punjab,45.96
PK-00082,31,Daily Wage Worker,18404,No Previous Loan,0,0.048,412227,0.777,0.238,0,23.5,Male,Khyber Pakhtunkhwa,25.52
PK-00083,34,Self-Employed,76001,No Previous Loan,0,0.265,473574,0.54,0.644,9,39.5,Female,Punjab,42.17
PK-00084,34,Business Owner,66561,Good Repayment History,1,0.287,609606,0.794,0.32,0,59.7,Male,Punjab,57.87
PK-00085,26,Other,50282,No Previous Loan,0,0.01,857492,0.622,0.507,9,80.4,Male,Balochistan,51.63
PK-00086,42,Self-Employed,94765,No Previous Loan,0,0.107,763432,0.641,0.808,16,81.4,Male,Sindh,71.19
PK-00087,33,Daily Wage Worker,30960,Good Repayment History,1,0.097,358007,0.654,0.418,2,61.4,Male,Punjab,63.33
PK-00088,38,Business Owner,86401,Delayed Repayment History,2,0.323,485206,0.619,0.823,10,61.6,Female,Khyber Pakhtunkhwa,53.23
PK-00089,42,Self-Employed,54217,Delayed Repayment History,2,0.186,516640,0.394,0.368,1,69.8,Female,Punjab,39.82
PK-00090,42,Business Owner,125270,Good Repayment History,1,0.256,943249,0.63,0.542,1,81.0,Male,Punjab,67.8
PK-00091,44,Salaried,68701,Delayed Repayment History,2,0.411,502706,0.814,0.63,4,60.1,Female,Punjab,33.65
PK-00092,37,Salaried,65242,Good Repayment History,1,0.133,311040,0.72,0.319,7,60.5,Female,Punjab,70.55
PK-00093,34,Self-Employed,44744,Good Repayment History,1,0.208,341627,0.582,0.322,0,59.9,Male,Sindh,68.09
PK-00094,37,Salaried,85399,No Previous Loan,0,0.01,450101,0.581,0.354,0,74.8,Male,Sindh,83.74
PK-00095,22,Self-Employed,84261,No Previous Loan,0,0.032,720378,0.421,0.555,1,37.8,Female,Punjab,46.65
PK-00096,24,Daily Wage Worker,30993,Good Repayment History,1,0.186,263073,0.67,0.569,3,55.7,Female,Khyber Pakhtunkhwa,60.19
PK-00097,25,Self-Employed,67704,Delayed Repayment History,2,0.161,708591,0.577,0.311,5,64.5,Male,Punjab,29.96
PK-00098,28,Daily Wage Worker,51632,No Previous Loan,0,0.253,669679,0.4,0.551,0,28.0,Male,Punjab,31.75
PK-00099,41,Business Owner,191977,Good Repayment History,1,0.16,944875,0.457,0.931,24,76.2,Male,Punjab,61.18
PK-00100,29,Salaried,71749,Delayed Repayment History,2,0.411,254093,0.3,0.714,21,75.2,Male,Khyber Pakhtunkhwa,76.55
PK-00101,34,Salaried,64807,Previous Default,3,0.388,349078,0.374,0.553,2,28.0,Male,Punjab,42.75
PK-00102,50,Daily Wage Worker,42641,No Previous Loan,0,0.05,412351,0.866,0.463,0,50.2,Female,Balochistan,65.68
PK-00103,34,Business Owner,83495,No Previous Loan,0,0.09,519896,0.607,0.693,1,53.1,Male,Khyber Pakhtunkhwa,84.75
PK-00104,45,Daily Wage Worker,59178,Good Repayment History,1,0.264,333970,0.449,0.687,2,44.0,Male,Khyber Pakhtunkhwa,66.48
PK-00105,29,Self-Employed,48976,No Previous Loan,0,0.047,56460,0.708,0.592,3,45.5,Male,Khyber Pakhtunkhwa,92.03
PK-00106,36,Freelancer,84432,Delayed Repayment History,2,0.314,503230,0.711,0.839,10,51.0,Male,Sindh,61.85
PK-00107,29,Daily Wage Worker,24810,No Previous Loan,0,0.069,323643,0.71,0.445,1,64.1,Male,Khyber Pakhtunkhwa,49.83
PK-00108,34,Other,67981,Delayed Repayment History,2,0.109,467550,0.493,0.376,1,77.6,Female,Sindh,66.47
PK-00109,46,Salaried,92872,No Previous Loan,0,0.045,729458,0.682,0.571,10,68.0,Female,Punjab,64.15
PK-00110,21,Other,63525,No Previous Loan,0,0.107,265848,0.539,0.927,39,43.9,Male,Punjab,60.47
PK-00111,42,Self-Employed,77930,No Previous Loan,0,0.085,364383,0.608,0.76,16,71.0,Female,Khyber Pakhtunkhwa,82.27
PK-00112,40,Daily Wage Worker,51650,No Previous Loan,0,0.08,402330,0.791,0.714,15,66.7,Female,Punjab,69.44
PK-00113,32,Business Owner,74192,Previous Default,3,0.405,433937,0.588,0.442,1,13.1,Male,Khyber Pakhtunkhwa,35.27
PK-00114,24,Business Owner,53768,Good Repayment History,1,0.125,438318,0.342,0.717,36,76.7,Female,Balochistan,54.26
PK-00115,38,Self-Employed,76582,No Previous Loan,0,0.13,555916,0.47,0.347,1,60.8,Male,Punjab,51.15
PK-00116,33,Daily Wage Worker,44726,Good Repayment History,1,0.151,382065,0.7,0.455,2,59.4,Male,Punjab,64.16
PK-00117,40,Self-Employed,97433,Delayed Repayment History,2,0.359,795016,0.705,0.622,4,32.6,Female,Punjab,34.15
PK-00118,38,Business Owner,83724,Good Repayment History,1,0.036,467741,0.776,0.579,6,84.1,Male,Punjab,80.86
PK-00119,53,Business Owner,92593,No Previous Loan,0,0.085,641468,0.681,0.574,9,64.6,Male,Sindh,62.95
PK-00120,35,Daily Wage Worker,48807,No Previous Loan,0,0.151,404368,0.628,0.617,3,69.1,Male,Punjab,56.8
PK-00121,28,Self-Employed,80582,No Previous Loan,0,0.195,532508,0.416,0.608,4,38.4,Male,Punjab,51.31
PK-00122,39,Freelancer,135667,No Previous Loan,0,0.021,609234,0.618,0.688,9,68.7,Male,Sindh,84.75
PK-00123,40,Business Owner,63485,Delayed Repayment History,2,0.41,592246,0.393,0.1,1,66.3,Male,Punjab,38.5
PK-00124,51,Business Owner,112657,Good Repayment History,1,0.191,690111,0.684,0.161,0,57.7,Female,Punjab,49.92
PK-00125,46,Freelancer,59027,Delayed Repayment History,2,0.463,296081,0.654,0.244,1,37.7,Male,Punjab,30.83
PK-00126,41,Freelancer,86864,Delayed Repayment History,2,0.156,762025,0.867,0.76,11,58.2,Female,Khyber Pakhtunkhwa,54.7
PK-00127,52,Daily Wage Worker,74859,Previous Default,3,0.417,487178,0.466,0.275,1,43.8,Male,Punjab,51.67
PK-00128,26,Business Owner,38969,No Previous Loan,0,0.111,432310,0.474,0.855,15,45.5,Male,Punjab,50.54
PK-00129,32,Salaried,97719,No Previous Loan,0,0.089,733564,0.712,0.561,4,77.6,Female,Punjab,48.93
PK-00130,29,Freelancer,47434,No Previous Loan,0,0.186,373889,0.578,0.38,1,58.3,Male,Sindh,50.62
PK-00131,34,Salaried,48121,Good Repayment History,1,0.312,445184,0.744,0.475,3,55.8,Male,Sindh,64.69
PK-00132,25,Salaried,51821,No Previous Loan,0,0.133,350676,0.615,0.827,16,39.1,Female,Punjab,70.64
PK-00133,44,Daily Wage Worker,31628,Delayed Repayment History,2,0.184,466560,0.432,0.331,0,54.8,Male,Sindh,24.86
PK-00134,36,Self-Employed,83090,No Previous Loan,0,0.046,660543,0.617,0.425,3,56.7,Male,Sindh,74.29
PK-00135,24,Business Owner,55483,No Previous Loan,0,0.385,451707,0.765,0.509,13,42.3,Female,Khyber Pakhtunkhwa,34.06
PK-00136,28,Other,78534,Delayed Repayment History,2,0.207,583710,0.791,0.424,5,75.6,Male,Sindh,55.24
PK-00137,41,Self-Employed,90087,Good Repayment History,1,0.173,368336,0.719,0.843,45,75.4,Female,Sindh,81.81
PK-00138,46,Salaried,72339,No Previous Loan,0,0.152,655370,0.571,0.336,0,46.5,Male,Punjab,45.98
PK-00139,57,Salaried,31714,No Previous Loan,0,0.208,320555,0.751,0.639,3,61.7,Male,Punjab,65.86
PK-00140,65,Self-Employed,40492,Delayed Repayment History,2,0.269,681234,0.349,0.34,0,27.7,Male,Khyber Pakhtunkhwa,10.58
PK-00141,42,Freelancer,75831,No Previous Loan,0,0.214,496936,0.45,0.922,6,63.6,Female,Punjab,78.47
PK-00142,28,Daily Wage Worker,41699,No Previous Loan,0,0.222,278951,0.589,0.885,25,68.6,Male,Punjab,72.27
PK-00143,18,Business Owner,102497,Good Repayment History,1,0.192,1132607,0.48,0.944,25,42.4,Female,Sindh,59.18
PK-00144,40,Self-Employed,25624,Good Repayment History,1,0.118,489401,0.341,0.302,1,55.0,Female,Khyber Pakhtunkhwa,44.89
PK-00145,30,Business Owner,64543,Good Repayment History,1,0.122,411860,0.595,0.6,3,60.1,Male,Punjab,74.54
PK-00146,34,Salaried,86747,Delayed Repayment History,2,0.228,567204,0.722,0.201,2,97.0,Male,Khyber Pakhtunkhwa,52.98
PK-00147,32,Freelancer,63321,Good Repayment History,1,0.152,656716,0.412,0.379,0,97.0,Male,Punjab,64.51
PK-00148,36,Business Owner,74129,Previous Default,3,0.519,192411,0.643,0.802,9,63.6,Female,Khyber Pakhtunkhwa,75.01
PK-00149,48,Salaried,38050,Delayed Repayment History,2,0.351,404442,0.501,0.361,2,45.9,Male,Khyber Pakhtunkhwa,20.02
PK-00150,39,Daily Wage Worker,64892,Good Repayment History,1,0.228,453633,0.717,0.26,1,61.9,Female,Khyber Pakhtunkhwa,60.72
PK-00151,36,Daily Wage Worker,37480,No Previous Loan,0,0.129,413047,0.654,0.371,2,73.6,Male,Khyber Pakhtunkhwa,58.5
PK-00152,28,Self-Employed,96619,Delayed Repayment History,2,0.421,321806,0.586,0.406,3,33.6,Female,Balochistan,52.23
PK-00153,22,Business Owner,129561,Good Repayment History,1,0.01,668202,0.648,0.867,41,28.2,Female,Khyber Pakhtunkhwa,57.04
PK-00154,33,Business Owner,135771,Good Repayment History,1,0.01,478284,0.371,0.559,2,43.0,Male,Punjab,65.52
PK-00155,37,Salaried,65031,No Previous Loan,0,0.087,580789,0.559,0.64,8,69.9,Male,Punjab,71.41
PK-00156,54,Salaried,55325,No Previous Loan,0,0.098,424460,0.511,0.432,2,70.3,Male,Punjab,54.83
PK-00157,39,Freelancer,63261,No Previous Loan,0,0.088,540006,0.81,0.737,6,64.9,Male,Punjab,62.58
PK-00158,47,Daily Wage Worker,89809,Delayed Repayment History,2,0.223,499188,0.685,0.464,8,76.5,Female,Sindh,68.93
PK-00159,33,Business Owner,79727,Good Repayment History,1,0.043,647937,0.699,0.72,16,56.0,Male,Punjab,75.53
PK-00160,27,Business Owner,118271,No Previous Loan,0,0.058,594855,0.629,0.874,28,56.1,Female,Balochistan,70.89
PK-00161,29,Business Owner,98659,No Previous Loan,0,0.039,652739,0.726,0.775,18,65.6,Female,Punjab,71.9
PK-00162,31,Self-Employed,58587,Good Repayment History,1,0.197,516895,0.541,0.866,27,84.3,Female,Punjab,67.89
PK-00163,58,Salaried,58625,No Previous Loan,0,0.158,715534,0.864,0.222,0,64.1,Male,Punjab,54.69
PK-00164,30,Self-Employed,101330,Previous Default,3,0.487,529153,0.674,0.734,25,58.2,Female,Punjab,36.54
PK-00165,46,Daily Wage Worker,45788,Good Repayment History,1,0.261,489089,0.734,0.817,15,63.1,Male,Punjab,66.86
PK-00166,29,Daily Wage Worker,36229,No Previous Loan,0,0.112,500091,0.704,0.648,4,78.1,Male,Sindh,83.38
PK-00167,46,Daily Wage Worker,34200,No Previous Loan,0,0.157,388261,0.283,0.59,0,50.2,Male,Punjab,49.8
PK-00168,41,Salaried,74431,Delayed Repayment History,2,0.188,613378,0.592,0.907,9,51.7,Male,Khyber Pakhtunkhwa,66.06
PK-00169,36,Business Owner,72872,Delayed Repayment History,2,0.22,612553,0.551,0.655,16,51.2,Male,Punjab,42.27
PK-00170,37,Business Owner,107731,No Previous Loan,0,0.224,375011,0.707,0.599,6,72.6,Male,Sindh,82.05
PK-00171,32,Salaried,155252,No Previous Loan,0,0.16,772220,0.693,0.655,11,49.2,Male,Sindh,60.04
PK-00172,42,Salaried,79887,No Previous Loan,0,0.01,781192,0.684,0.838,9,68.8,Female,Punjab,73.16
PK-00173,33,Daily Wage Worker,81832,No Previous Loan,0,0.017,616521,0.732,0.34,0,36.2,Male,Punjab,47.39
PK-00174,26,Freelancer,31629,No Previous Loan,0,0.284,281834,0.681,0.306,1,51.5,Female,Khyber Pakhtunkhwa,54.02
PK-00175,26,Business Owner,103025,No Previous Loan,0,0.01,531710,0.366,0.691,0,58.9,Female,Sindh,53.14
PK-00176,39,Self-Employed,109063,No Previous Loan,0,0.01,527495,0.689,0.482,4,87.7,Male,Punjab,81.63
PK-00177,53,Business Owner,141638,Good Repayment History,1,0.101,766121,0.689,0.174,0,76.0,Male,Sindh,90.53
PK-00178,39,Salaried,103411,Good Repayment History,1,0.108,747107,0.547,0.699,28,54.3,Male,Punjab,70.76
PK-00179,37,Salaried,66150,No Previous Loan,0,0.195,280151,0.388,0.615,3,50.2,Male,Punjab,84.44
PK-00180,40,Business Owner,120626,Delayed Repayment History,2,0.357,512985,0.637,0.505,3,49.9,Female,Punjab,53.38
PK-00181,50,Self-Employed,49565,No Previous Loan,0,0.064,503629,0.673,0.373,3,39.8,Male,Sindh,71.32
PK-00182,40,Other,96675,Delayed Repayment History,2,0.281,541993,0.696,0.609,14,84.6,Female,Punjab,64.27
PK-00183,34,Self-Employed,49476,Previous Default,3,0.445,319902,0.508,0.812,7,45.4,Female,Sindh,46.8
PK-00184,48,Salaried,103221,No Previous Loan,0,0.141,576270,0.854,0.406,8,86.5,Female,Punjab,73.23
PK-00185,42,Salaried,95924,No Previous Loan,0,0.044,622685,0.863,0.763,17,61.1,Male,Punjab,86.61
PK-00186,52,Freelancer,57968,Previous Default,3,0.438,396622,0.408,0.609,3,56.4,Female,Punjab,39.02
PK-00187,39,Salaried,135976,Previous Default,3,0.51,553863,0.727,0.601,7,62.3,Male,Punjab,52.6
PK-00188,26,Salaried,87928,Good Repayment History,1,0.148,529572,0.545,0.576,3,78.0,Male,Khyber Pakhtunkhwa,88.08
PK-00189,25,Self-Employed,40435,Delayed Repayment History,2,0.339,436285,0.609,0.373,2,43.2,Female,Khyber Pakhtunkhwa,29.88
PK-00190,53,Self-Employed,85880,Delayed Repayment History,2,0.347,410047,0.753,0.631,5,67.0,Male,Punjab,61.63
PK-00191,54,Business Owner,45182,Good Repayment History,1,0.142,482244,0.427,0.675,1,56.2,Female,Punjab,51.86
PK-00192,36,Business Owner,84503,No Previous Loan,0,0.01,551849,0.507,0.801,24,65.3,Female,Punjab,66.49
PK-00193,34,Salaried,55951,Good Repayment History,1,0.219,476201,0.404,0.919,14,54.4,Female,Khyber Pakhtunkhwa,67.97
PK-00194,51,Daily Wage Worker,56051,Delayed Repayment History,2,0.366,399202,0.636,0.285,1,52.0,Female,Punjab,38.29
PK-00195,27,Self-Employed,49131,Good Repayment History,1,0.182,405357,0.391,0.455,3,65.3,Male,Khyber Pakhtunkhwa,73.06
PK-00196,29,Business Owner,63284,No Previous Loan,0,0.04,517733,0.421,0.378,2,36.6,Male,Punjab,66.53
PK-00197,44,Salaried,79581,No Previous Loan,0,0.044,529184,0.642,0.865,12,80.5,Male,Sindh,78.56
PK-00198,34,Business Owner,129968,No Previous Loan,0,0.095,628693,0.658,0.706,6,62.3,Female,Sindh,78.81
PK-00199,38,Self-Employed,70270,No Previous Loan,0,0.01,333420,0.53,0.477,1,49.9,Female,Sindh,61.28
PK-00200,36,Business Owner,195845,Good Repayment History,1,0.244,1010717,0.615,0.585,5,67.8,Female,Punjab,57.88
PK-00201,41,Self-Employed,62825,Previous Default,3,0.549,379996,0.478,0.435,0,47.2,Male,Punjab,29.89
PK-00202,51,Other,69801,No Previous Loan,0,0.01,635346,0.266,0.563,9,59.6,Male,Punjab,51.82
PK-00203,39,Self-Employed,79326,No Previous Loan,0,0.136,344430,0.829,0.176,0,60.2,Female,Balochistan,74.65
PK-00204,44,Daily Wage Worker,40198,Good Repayment History,1,0.268,402024,0.682,0.452,1,75.9,Female,Punjab,56.58
PK-00205,18,Daily Wage Worker,59344,No Previous Loan,0,0.179,428329,0.391,0.321,1,62.1,Male,Sindh,67.73
PK-00206,37,Self-Employed,51296,Previous Default,3,0.269,290216,0.709,0.345,0,39.9,Male,Balochistan,37.72
PK-00207,30,Self-Employed,32578,Good Repayment History,1,0.173,646464,0.582,0.628,3,64.6,Female,Sindh,42.6
PK-00208,26,Self-Employed,62031,Good Repayment History,1,0.127,758045,0.599,0.671,21,69.1,Female,Punjab,62.1
PK-00209,29,Other,47619,Good Repayment History,1,0.169,496477,0.612,0.469,3,32.0,Male,Punjab,64.63
PK-00210,35,Business Owner,125675,Previous Default,3,0.271,58033,0.788,0.55,11,42.1,Male,Sindh,85.42
PK-00211,46,Business Owner,57620,Good Repayment History,1,0.338,528402,0.717,0.424,0,88.8,Male,Khyber Pakhtunkhwa,48.77
PK-00212,25,Salaried,72419,No Previous Loan,0,0.13,473081,0.57,0.737,15,53.4,Male,Balochistan,78.22
PK-00213,38,Daily Wage Worker,51473,No Previous Loan,0,0.016,292403,0.486,0.463,1,52.5,Male,Punjab,81.96
PK-00214,33,Salaried,72100,Previous Default,3,0.351,345578,0.5,0.347,2,58.0,Male,Khyber Pakhtunkhwa,38.28
PK-00215,35,Salaried,93732,No Previous Loan,0,0.205,468226,0.556,0.73,3,49.5,Female,Punjab,79.41
PK-00216,47,Self-Employed,70441,Delayed Repayment History,2,0.293,873500,0.652,0.544,0,30.9,Male,Sindh,18.82
PK-00217,43,Self-Employed,72321,Previous Default,3,0.516,338038,0.449,0.325,2,41.1,Female,Punjab,15.51
PK-00218,50,Daily Wage Worker,52656,Good Repayment History,1,0.247,383183,0.801,0.628,4,47.5,Male,Punjab,62.46
PK-00219,36,Daily Wage Worker,42827,Good Repayment History,1,0.073,445534,0.419,0.786,1,48.8,Male,Sindh,60.72
PK-00220,31,Salaried,39694,No Previous Loan,0,0.028,536912,0.485,0.299,0,44.4,Male,Punjab,58.33
